Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
Barbaskon,888 Poker,9259,28.82,17.35,12.48,1.01,4.14,43.98,26.47,35.4,15.09,10.09,26.64,48.18,28.09,69.55,9.37,3.98,-32.71,294.5,16
ImGrasquet,888 Poker,9256,22.41,15.86,5.97,0.15,5.04,55.56,24.6,42.3,13.58,10.3,36.48,39.64,37.68,70.99,2.5,3.64,-13.37,-460.51,3
juneera,888 Poker,9254,19.98,14.61,5.6,0.05,1.51,53.54,25.55,39.01,15.64,9.67,33.57,41.12,33.52,60.47,5.27,5.79,-14.08,268.29,16
7Inspiration,888 Poker,9253,28.2,21.19,7.45,0.1,6.96,64.66,22.83,43.05,12.71,10.73,36.56,40.0,43.79,70.0,17.32,7.47,-11.74,1766.26,3
kentguy1,888 Poker,9248,16.59,8.16,11.11,2.3,0.63,28.26,28.88,33.36,20.13,10.62,25.0,44.25,43.36,58.93,-8.67,-8.53,-28.28,-631.48,1
Laq113,888 Poker,9240,24.82,15.36,14.41,2.33,4.27,33.33,27.77,40.05,14.6,15.05,32.73,37.63,47.0,45.89,-13.69,-7.13,-6.13,-760.44,18
Chopaq13,888 Poker,9235,32.23,21.73,9.2,0.93,6.7,61.07,24.64,45.25,13.17,11.29,37.25,38.3,44.07,62.19,8.58,7.97,-15.85,668.53,3
Lucky_K_A,888 Poker,9233,30.66,2.88,17.93,26.78,0.23,0.0,32.6,36.12,18.71,13.98,23.63,43.68,45.12,55.61,5.6,0.98,-34.37,-34.37,15
LuckBox5,888 Poker,9225,25.6,17.89,6.58,0.13,7.04,58.12,24.53,42.23,14.44,10.75,35.62,39.2,41.09,62.28,11.71,0.22,-13.77,1091.2,3
pintinhopiu,888 Poker,9225,28.75,21.43,6.52,0.15,9.88,49.49,27.75,52.3,15.03,14.84,43.06,27.06,52.25,37.1,16.53,28.57,3.47,1223.28,4
Rainman40,888 Poker,9222,31.93,8.22,21.66,23.0,3.12,15.38,28.88,37.46,16.94,14.52,31.02,37.51,45.84,54.38,-11.39,0.8,-29.27,-951.26,13
4bidden4you,888 Poker,9222,30.15,3.92,23.23,28.56,1.57,11.11,35.93,37.64,20.73,16.14,24.15,38.99,40.69,56.9,-7.78,-6.68,-24.54,-569.31,15
caspokraise,888 Poker,9213,27.86,19.75,9.7,0.18,5.2,43.0,35.43,41.67,19.11,17.26,30.83,32.8,35.81,32.8,5.0,3.49,-8.56,930.2,19
drinho87,888 Poker,9211,25.79,17.91,8.2,0.35,6.9,44.1,31.0,50.75,15.54,14.65,43.62,26.19,45.82,37.74,0.41,12.25,1.24,463.66,4
Eldorado.,888 Poker,9206,55.62,15.1,44.77,38.51,3.43,17.16,35.07,38.77,15.63,21.55,29.69,33.14,52.68,55.85,3.2,-1.49,-15.91,-334.1,12
PolPota7uu,888 Poker,9202,30.29,21.33,9.5,0.13,7.77,62.85,23.78,43.47,12.55,12.82,39.74,34.89,37.95,54.19,8.07,7.35,-14.03,273.97,8
PaoVei,888 Poker,9200,24.04,18.51,4.93,0.07,3.95,51.05,25.64,43.01,14.06,11.84,34.03,40.07,42.98,48.78,-6.57,-6.46,-14.08,-217.7,10
Norgon,888 Poker,9200,31.23,21.51,10.56,0.2,7.56,45.1,27.37,48.66,13.33,12.85,39.35,34.46,39.92,44.58,13.4,17.83,2.92,1311.41,5
CycloneBarce,888 Poker,9192,22.16,16.21,7.21,0.03,4.29,40.89,25.19,40.27,12.71,12.14,35.14,40.0,50.0,59.35,3.75,4.62,-10.48,-49.34,10
3BarrelBfluf,888 Poker,9185,22.03,15.08,8.27,0.37,4.51,48.17,28.71,46.06,15.58,13.58,39.95,30.89,54.58,42.02,2.3,4.51,-9.14,530.42,0
PhilThe00,888 Poker,9183,28.07,18.86,9.89,0.2,4.44,53.59,26.88,44.07,17.14,11.7,34.8,36.36,39.25,51.92,7.42,7.81,-9.38,1145.88,10
Meanreen1970,888 Poker,9183,34.81,8.13,26.13,28.62,2.58,8.33,29.69,37.32,16.05,15.48,26.78,41.69,40.38,54.82,-32.03,-31.11,-3.71,-2240.99,15
Yurchik_11,888 Poker,9181,33.95,25.65,8.39,0.0,9.4,59.36,23.84,44.83,12.55,11.95,36.97,38.54,47.37,54.55,16.63,-0.25,-11.89,1537.66,8
Saul.Hudson,888 Poker,9176,25.33,18.49,6.93,0.08,5.98,52.51,27.26,50.89,14.45,13.33,47.57,24.66,39.51,39.86,5.78,17.65,3.64,691.41,0
RazvyB,888 Poker,9172,24.05,16.89,7.59,0.23,4.9,43.75,32.23,43.59,17.57,15.8,33.63,33.0,36.83,40.12,-7.47,-3.82,-4.92,255.18,7
Tillemont,888 Poker,9169,26.26,6.33,19.72,18.71,1.58,0.0,36.55,38.43,19.09,18.18,23.3,39.43,28.61,51.9,-6.85,-6.52,-22.54,-894.84,15
memphisino,888 Poker,9168,25.98,17.29,10.34,0.0,4.64,65.82,21.41,42.7,11.83,10.27,41.52,36.38,47.87,60.31,7.05,1.2,-17.55,1074.81,3
PHCardoso,888 Poker,9165,24.34,18.86,6.26,0.77,6.43,53.01,24.79,46.36,14.83,11.16,41.22,32.79,44.8,48.39,11.54,10.58,-6.53,1180.46,0
frajolabm,888 Poker,9160,22.27,15.04,9.7,0.11,3.23,41.18,32.37,40.08,17.41,17.04,33.15,32.41,33.06,44.07,-0.3,-0.9,-11.66,1101.19,7
GriggAs,888 Poker,9159,22.94,14.35,11.16,0.3,4.71,38.71,29.13,38.96,17.86,13.12,29.16,39.85,41.25,47.02,10.11,7.91,-18.54,360.52,7
